Summary,Issue key,Issue Type,Status,Project name,Project lead id,Resolution,Created,Updated,Resolved,Log Work
unit test,TRT-1044,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/02 08:47,2020/11/10 16:43,2020/11/10 16:43,
Clear user cookie on logout,TRT-1043,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/02 08:41,2020/11/10 14:22,2020/11/10 14:22,
secure logout endpoint,TRT-1042,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/02 08:41,2020/11/04 07:26,2020/11/04 07:26,
create logout endpoint,TRT-1041,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/11/02 08:40,2020/11/02 08:40,2020/11/02 08:40,
Unit test,TRT-1040,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/10/22 15:34,2020/10/30 05:36,2020/10/30 05:36,
Secure logout: logout from the api,TRT-1039,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/10/22 15:33,2020/11/10 16:50,2020/11/10 16:50,
Replace local storage user data with data from the auth API,TRT-1038,Task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/10/22 15:27,2021/01/19 12:26,2021/01/19 12:26,
update front-end routes,TRT-1035,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/10/13 09:15,2020/10/22 15:25,2020/10/22 15:25,
Learn Redis and Express session,TRT-1033,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/10/01 09:07,2020/10/05 21:18,2020/10/05 21:18,
pull request,TRT-1031,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/29 09:18,2021/01/25 09:06,2021/01/25 09:06,
store refresh token,TRT-1030,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/29 09:17,2020/10/13 09:14,2020/10/13 09:14,
Pull Request,TRT-1021,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/16 09:05,2021/05/03 09:37,2021/05/03 09:37,
Testing,TRT-1020,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/16 09:04,2021/05/03 09:37,2021/05/03 09:37,
learn and setup docker,TRT-1017,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/16 05:05,2020/09/29 09:17,2020/09/29 09:17,
pull request,TRT-1015,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/14 13:45,2020/09/21 09:09,2020/09/21 09:09,
Set cookie domain,TRT-1014,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/14 13:45,2020/09/18 08:40,2020/09/18 08:40,
Save token in a cookie,TRT-1013,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/14 13:45,2020/09/14 21:43,2020/09/14 21:43,
Refresh token,TRT-1000,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/08 04:54,2020/09/29 09:16,2020/09/29 09:16,
set token expiry date,TRT-999,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/08 04:53,2020/09/08 05:07,2020/09/08 05:07,
Token Management,TRT-998,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/08 04:49,2020/10/30 05:44,2020/10/30 05:44,
allow user to delete a screen,TRT-989,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/02 15:06,2020/09/02 15:06,2020/09/02 15:06,
pull request,TRT-988,Sub-task,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/02 15:05,2020/09/03 08:07,2020/09/03 08:07,
Delete screen,TRT-981,Bug,Done,Tesseract,61d439b0ce3652006ab7ce72,Done,2020/09/02 09:20,2020/09/03 08:07,2020/09/03 08:07,
